date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:30	3261/3261	---M--	200	added ('OK')	image/png	etag:%22cbd-65b0f782-17d4708fa109a9ea;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/flag/in.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/flag/in.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:30	2380/2380	---M--	200	added ('OK')	image/png	etag:%2294c-65b0f782-6a79d363327c2622;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/flag/de.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/flag/de.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:30	2565/2565	---M--	200	added ('OK')	image/png	etag:%22a05-65b0f782-416d94cd971d6fd1;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/flag/it.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/flag/it.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:30	3546/3546	---M--	200	added ('OK')	image/png	etag:%22dda-65b0f782-23920c70c9fdd0d;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/flag/jp.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/flag/jp.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:31	3028/3028	---M--	200	added ('OK')	image/png	etag:%22bd4-65b0f77f-443b18c1af4f9cd2;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/1.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/1.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:31	5312/5312	---M--	200	added ('OK')	image/png	etag:%2214c0-65b0f77f-34efa43c6bb77e08;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/2.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/2.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:31	4626/4626	---M--	200	added ('OK')	image/png	etag:%221212-65b0f77f-7791a6a9a6c04a9f;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/3.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/3.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:31	3897/3897	---M--	200	added ('OK')	image/png	etag:%22f39-65b0f77f-8cefd4efa0acd25f;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/4.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/4.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:32	6026/6026	---M--	200	added ('OK')	image/png	etag:%22178a-65b0f77f-70d79f2f19f945e4;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/5.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/5.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:32	5759/5759	---M--	200	added ('OK')	image/png	etag:%22167f-65b0f77f-5804dc3b550202a5;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/6.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/apps/6.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
